case,category,process,label,type,name,index,phase,min_index,max_index,parameter_scale,min_arith,max_arith,init_arith_value,final_arith_value,min_param,max_param,init_param_value,final_param_value,stdv
22_03d5,population processes,recruitment,historical recruitment period, param_init_bounded_number,pLnR[1],1,1,1,1, ARITHMETIC,0,10,5.77676042291,6.96043590017,0,10,5.77676042291,6.96043590017,0.59702
22_03d5,population processes,recruitment,current recruitment period, param_init_bounded_number,pLnR[2],1,1,1,1, ARITHMETIC,0,10,5.61658303952,6.0161693231,0,10,5.61658303952,6.0161693231,0.065583
22_03d5,population processes,recruitment,full model period, param_init_bounded_number,pRCV[1],1,-5,1,1, LOG,0.135335283,7.389056099,0.496585303791,0.496585303791,-2.00000000175,2.00000000001,-0.700000000001,-0.700000000001,NA
22_03d5,population processes,recruitment,full model period, param_init_bounded_number,pRX[1],1,-1,1,1, LOGIT,0.268941421,0.731058579,0.5,0.5,-25,25,-1.11022302463e-16,-1.11022302463e-16,NA
22_03d5,population processes,recruitment,fixed value, param_init_bounded_number,pRa[1],1,5,1,1, LOG,2.718281828,54.59815003,9.33733630138,9.03012993708,0.999999999831,3.99999999994,2.23402101899,2.20056675681,0.03025
22_03d5,population processes,recruitment,fixed value, param_init_bounded_number,pRb[1],1,5,1,1, LOG,1,54.59815003,3.8647748116,3.89773998,0,3.99999999994,1.35190341685,1.36039689286,0.080652
22_03d5,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,1,1,1,26, ARITHMETIC,-5,5,-0.989165034057,-0.490179615656,-5,5,-0.989165034057,-0.490179615656,1.7896
22_03d5,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,2,1,1,26, ARITHMETIC,-5,5,1.04656496661,-0.489511497153,-5,5,1.04656496661,-0.489511497153,1.6573
22_03d5,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,3,1,1,26, ARITHMETIC,-5,5,0.864414065641,-0.487947313622,-5,5,0.864414065641,-0.487947313622,1.528
22_03d5,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,4,1,1,26, ARITHMETIC,-5,5,-1.56399332156,-0.485176912446,-5,5,-1.56399332156,-0.485176912446,1.4028
22_03d5,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,5,1,1,26, ARITHMETIC,-5,5,-0.93208872612,-0.480785205609,-5,5,-0.93208872612,-0.480785205609,1.283
22_03d5,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,6,1,1,26, ARITHMETIC,-5,5,-1.64084882376,-0.474217797234,-5,5,-1.64084882376,-0.474217797234,1.1704
22_03d5,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,7,1,1,26, ARITHMETIC,-5,5,0.863096990522,-0.46472948775,-5,5,0.863096990522,-0.46472948775,1.0671
